item	total	count part-1	specif part-1	count part-2	specif part-2
제주	27	5	-1.37	22	1.37
서비스	27	1	-3.67	26	3.67
Terms	27	0	-4.80	27	4.80
외국어로	26	13	1.45	13	-1.45
명의	26	13	1.45	13	-1.45
공용어를	26	13	1.45	13	-1.45
말할	26	11	0.99	15	-0.99
있도록	26	10	0.86	16	-0.86
표현하는	26	12	1.19	14	-1.19
T	26	4	-1.63	22	1.63
계통	26	10	0.86	16	-0.86
동시에	26	11	0.99	15	-0.99
알타이	26	12	1.19	14	-1.19
나오는	26	13	1.45	13	-1.45
동사	26	12	1.19	14	-1.19
한반도	26	11	0.99	15	-0.99
배우기	26	12	1.19	14	-1.19
유형	26	7	-0.88	19	0.88
문서를	26	4	-1.63	22	1.63
강한	26	11	0.99	15	-0.99
대체로	26	11	0.99	15	-0.99
이와	26	11	0.99	15	-0.99
다르다	26	11	0.99	15	-0.99
해서	26	9	0.79	17	0.79
M	26	2	-2.70	24	2.70
정확히	26	12	1.19	14	-1.19
당연히	26	11	0.99	15	-0.99
결과	26	14	1.78	12	-1.78
CSS	26	12	1.19	14	-1.19
JIT	26	13	1.45	13	-1.45
37	26	8	-0.80	18	0.80
32	26	9	0.79	17	0.79
언어인	26	13	1.45	13	-1.45
표준어는	26	13	1.45	13	-1.45
수밖에	26	9	0.79	17	0.79
kr	26	0	-4.62	26	4.62
protected	26	0	-4.62	26	4.62
번째로	25	12	1.28	13	-1.28
조금	25	12	1.28	13	-1.28
비즈니스	25	6	-0.97	19	0.97
인구가	25	9	0.80	16	-0.80
문화적	25	12	1.28	13	-1.28
하나로	25	12	1.28	13	-1.28
31	25	7	-0.83	18	0.83
처음	25	10	0.89	15	-0.89
작은	25	10	0.89	15	-0.89
목록	25	9	0.80	16	-0.80
음악	25	3	-1.97	22	1.97
인간이	25	11	1.05	14	-1.05
이들	25	12	1.28	13	-1.28
각각	25	10	0.89	15	-0.89
80	25	9	0.80	16	-0.80
캐나다	25	8	0.78	17	0.78
식으로	25	10	0.89	15	-0.89
대해서는	25	12	1.28	13	-1.28
단어의	25	10	0.89	15	-0.89
먼저	25	11	1.05	14	-1.05
경우에는	25	10	0.89	15	-0.89
아니며	25	6	-0.97	19	0.97
프로그램	25	8	0.78	17	0.78
G	25	3	-1.97	22	1.97
하기	25	11	1.05	14	-1.05
미디어	25	3	-1.97	22	1.97
메모리	25	8	0.78	17	0.78
위의	25	11	1.05	14	-1.05
명령형	25	12	1.28	13	-1.28
속	25	12	1.28	13	-1.28
곧	25	11	1.05	14	-1.05
CC	25	3	-1.97	22	1.97
이해하는	25	11	1.05	14	-1.05
검색	25	2	-2.56	23	2.56
몽골어	25	11	1.05	14	-1.05
그나마	25	12	1.28	13	-1.28
입장에서는	25	10	0.89	15	-0.89
함경도	25	8	0.78	17	0.78
사회성	25	11	1.05	14	-1.05
사고	25	7	-0.83	18	0.83
jpg	25	4	-1.53	21	1.53
Google	25	0	-4.45	25	4.45
아프리카	24	9	0.81	15	-0.81
앞서	24	12	1.39	12	-1.39
이번	24	10	0.93	14	-0.93
원	24	16	3.14	8	-3.14
미국에서	24	12	1.39	12	-1.39
지정한	24	12	1.39	12	-1.39
관련이	24	9	0.81	15	-0.81
만들어	24	8	0.77	16	0.77
있다면	24	10	0.93	14	-0.93
데이터를	24	9	0.81	15	-0.81
변화를	24	11	1.13	13	-1.13
필요가	24	11	1.13	13	-1.13
INS	24	2	-2.42	22	2.42
언어에서는	24	12	1.39	12	-1.39
→	24	10	0.93	14	-0.93
수정	24	1	-3.18	23	3.18
이론을	24	12	1.39	12	-1.39
일본어는	24	12	1.39	12	-1.39
비교적	24	11	1.13	13	-1.13
이다	24	10	0.93	14	-0.93
없지만	24	10	0.93	14	-0.93
반응형	24	7	-0.80	17	0.80
회화	24	11	1.13	13	-1.13
실행	24	9	0.81	15	-0.81
만큼	24	13	1.72	11	-1.72
뿐이다	24	10	0.93	14	-0.93
언어도	24	12	1.39	12	-1.39
발생하는	24	6	-0.91	18	0.91
그래도	24	9	0.81	15	-0.81
받는	24	11	1.13	13	-1.13
34	24	7	-0.80	17	0.80
K	24	5	-1.12	19	1.12
시간이	24	9	0.81	15	-0.81
중국의	24	11	1.13	13	-1.13
진화	24	10	0.93	14	-0.93
일상	24	11	1.13	13	-1.13
모국어는	24	12	1.39	12	-1.39
호모	24	12	1.39	12	-1.39
단순한	24	10	0.93	14	-0.93
기원	24	13	1.72	11	-1.72
회	24	7	-0.80	17	0.80
위키백과	24	1	-3.18	23	3.18
기여하신	24	0	-4.27	24	4.27
나무위키는	24	0	-4.27	24	4.27
xml	24	0	-4.27	24	4.27
base	24	0	-4.27	24	4.27
cGF	24	0	-4.27	24	4.27
OC	24	0	-4.27	24	4.27
Ik	24	0	-4.27	24	4.27
Ii	24	0	-4.27	24	4.27
PSI	24	0	-4.27	24	4.27
KPC	24	0	-4.27	24	4.27
LTE	24	0	-4.27	24	4.27
LDE	24	0	-4.27	24	4.27
zNi	24	0	-4.27	24	4.27
por	24	0	-4.27	24	4.27
This	24	0	-4.27	24	4.27
site	24	0	-4.27	24	4.27
apply	24	0	-4.27	24	4.27
ads	24	0	-4.27	24	4.27
정보를	23	10	0.99	13	-0.99
이어	23	10	0.99	13	-0.99
사용자가	23	11	1.21	12	-1.21
것입니다	23	10	0.99	13	-0.99
지난	23	9	0.84	14	-0.84
수능	23	10	0.99	13	-0.99
문제를	23	11	1.21	12	-1.21
이미지	23	5	-1.04	18	1.04
500	23	6	-0.86	17	0.86
문자를	23	9	0.84	14	-0.84
포함한	23	7	-0.77	16	0.77
나라	23	7	-0.77	16	0.77
모바일	23	4	-1.33	19	1.33
단어는	23	8	0.77	15	0.77
말하는	23	8	0.77	15	0.77
기본적으로	23	10	0.99	13	-0.99
강력한	23	11	1.21	12	-1.21
기반으로	23	10	0.99	13	-0.99
읽기	23	7	-0.77	16	0.77
유명한	23	11	1.21	12	-1.21
s	23	4	-1.33	19	1.33
현재는	23	10	0.99	13	-0.99
해외	23	6	-0.86	17	0.86
순위	23	9	0.84	14	-0.84
튜링	23	9	0.84	14	-0.84
간단한	23	11	1.21	12	-1.21
프로그램을	23	10	0.99	13	-0.99
만들기	23	4	-1.33	19	1.33
AOT	23	11	1.21	12	-1.21
완전히	23	10	0.99	13	-0.99
점은	23	11	1.21	12	-1.21
33	23	8	0.77	15	0.77
시간	23	9	0.84	14	-0.84
39	23	7	-0.77	16	0.77
V	23	3	-1.73	20	1.73
표	23	22	9.24	1	-9.24
주장을	23	11	1.21	12	-1.21
영어의	23	9	0.84	14	-0.84
너무	23	8	0.77	15	0.77
민족	23	10	0.99	13	-0.99
스페인	23	7	-0.77	16	0.77
여행	23	5	-1.04	18	1.04
53	23	1	-3.02	22	3.02
콘텐츠	23	1	-3.02	22	3.02
되고	22	9	0.88	13	-0.88
것처럼	22	9	0.88	13	-0.88
오늘날	22	9	0.88	13	-0.88
정책	22	4	-1.23	18	1.23
중에서	22	11	1.32	11	-1.32
따로	22	11	1.32	11	-1.32
불구하고	22	10	1.06	12	-1.06
사이에서	22	10	1.06	12	-1.06
특성	22	10	1.06	12	-1.06
한편	22	7	0.75	15	0.75
규칙	22	9	0.88	13	-0.88
교육을	22	10	1.06	12	-1.06
나타내는	22	9	0.88	13	-0.88
languageName	22	1	-2.87	21	2.87
대신	22	8	0.77	14	-0.77
전부	22	9	0.88	13	-0.88
수준의	22	10	1.06	12	-1.06
대학	22	10	1.06	12	-1.06
만약	22	7	0.75	15	0.75
핵심	22	6	-0.81	16	0.81
네이버	22	4	-1.23	18	1.23
외에	22	11	1.32	11	-1.32
것에	22	11	1.32	11	-1.32
배운	22	9	0.88	13	-0.88
한국에	22	10	1.06	12	-1.06
음성	22	9	0.88	13	-0.88
당장	22	10	1.06	12	-1.06
이해하기	22	10	1.06	12	-1.06
70	22	5	-0.97	17	0.97
호주	22	7	0.75	15	0.75
D	22	3	-1.61	19	1.61
cript	22	22	10.42	0	-10.42
실시간	22	6	-0.81	16	0.81
객	22	22	10.42	0	-10.42
자	22	17	4.52	5	-4.52
상호	22	11	1.32	11	-1.32
방식으로	22	9	0.88	13	-0.88
굳이	22	8	0.77	14	-0.77
첫	22	4	-1.23	18	1.23
말은	22	8	0.77	14	-0.77
나머지	22	10	1.06	12	-1.06
라이브러리	22	4	-1.23	18	1.23
모어로	22	11	1.32	11	-1.32
수준으로	22	11	1.32	11	-1.32
되었다	22	10	1.06	12	-1.06
해체	22	3	-1.61	19	1.61
해요체	22	4	-1.23	18	1.23
쓴다	22	9	0.88	13	-0.88
사정	22	10	1.06	12	-1.06
넘어	22	9	0.88	13	-0.88
de	22	2	-2.14	20	2.14
KR	22	4	-1.23	18	1.23
본문	22	4	-1.23	18	1.23
울산	22	5	-0.97	17	0.97
연예	22	0	-3.91	22	3.91
IP	22	0	-3.91	22	3.91
여러분이	21	4	-1.14	17	1.14
기관	21	10	1.15	11	-1.15
우리	21	7	0.74	14	0.74
유럽의	21	11	1.44	10	-1.44
멕시코	21	6	-0.77	15	0.77
ko	21	9	0.93	12	-0.93
