item	total	count part-1	specif part-1	count part-2	specif part-2
모두	93	39	1.69	54	-1.69
15	92	20	-2.35	72	2.35
같이	91	29	-1.07	62	1.07
문자	91	43	2.65	48	-2.65
쓰이는	90	41	2.27	49	-2.27
해당	90	36	1.42	54	-1.42
일부	89	35	1.34	54	-1.34
18	89	22	-1.73	67	1.73
등이	89	39	1.94	50	-1.94
언어와	88	47	4.23	41	-4.23
스페인어	88	32	1.12	56	-1.12
따라서	88	40	2.22	48	-2.22
가지고	87	41	2.54	46	-2.54
다만	87	39	2.09	48	-2.09
일본	87	33	1.21	54	-1.21
43	87	0	-15.47	87	15.47
말	86	56	8.76	30	-8.76
있는데	86	41	2.64	45	-2.64
프랑스어	86	33	1.24	53	-1.24
한국어는	86	43	3.19	43	-3.19
국어	85	47	4.71	38	-4.71
수도	85	35	1.52	50	-1.52
영향을	84	38	2.12	46	-2.12
볼	84	34	1.43	50	-1.43
한국어와	84	42	3.14	42	-3.14
것	84	30	1.08	54	-1.08
일반	84	27	-1.05	57	1.05
있지만	83	34	1.48	49	-1.48
서로	83	39	2.44	44	-2.44
은	83	25	-1.12	58	1.12
Kotlin	83	18	-2.21	65	2.21
대한민국	83	31	1.16	52	-1.16
사람들이	82	39	2.54	43	-2.54
않은	82	34	1.53	48	-1.53
2025	81	4	-9.37	77	9.37
분류	81	32	1.31	49	-1.31
기	81	65	17.12	16	-17.12
있고	81	37	2.15	44	-2.15
2024	80	14	-3.19	66	3.19
번역	80	28	1.05	52	-1.05
으로	79	29	1.11	50	-1.11
영어를	78	34	1.77	44	-1.77
유럽	78	45	5.15	33	-5.15
월	77	17	-2.03	60	2.03
나	77	44	4.91	33	-4.91
연구	77	41	3.76	36	-3.76
안	77	34	1.84	43	-1.84
기타	76	21	-1.26	55	1.26
어떻게	75	32	1.61	43	-1.61
약	75	34	2.00	41	-2.00
되는	75	33	1.79	42	-1.79
Android	75	1	-11.76	74	11.76
c	75	4	-8.44	71	8.44
하고	74	34	2.08	40	-2.08
있을	74	27	1.08	47	-1.08
않는다	74	31	1.51	43	-1.51
대해	73	31	1.57	42	-1.57
등을	73	28	1.18	45	-1.18
50	73	15	-2.26	58	2.26
그래서	73	33	1.95	40	-1.95
인도	72	37	3.12	35	-3.12
된	72	39	3.81	33	-3.81
않다	72	31	1.63	41	-1.63
보면	72	28	1.21	44	-1.21
내용	71	24	1.00	47	1.00
바로	70	31	1.77	39	-1.77
않고	70	32	1.98	38	-1.98
이후	70	30	1.58	40	-1.58
16	70	17	-1.58	53	1.58
제대로	70	30	1.58	40	-1.58
널리	69	32	2.06	37	-2.06
주로	69	32	2.06	37	-2.06
에서	69	25	1.05	44	-1.05
자주	69	20	-1.12	49	1.12
OS	69	0	-12.27	69	12.27
건	68	29	1.53	39	-1.53
한국의	68	26	1.14	42	-1.14
최초의	68	32	2.16	36	-2.16
타입	68	33	2.42	35	-2.42
and	68	2	-9.33	66	9.33
사회	67	21	-1.01	46	1.01
방언을	67	29	1.60	38	-1.60
아예	67	29	1.60	38	-1.60
현재	66	32	2.36	34	-2.36
the	66	3	-7.96	63	7.96
세기	66	28	1.49	38	-1.49
b	66	6	-5.55	60	5.55
19	66	21	-1.00	45	1.00
한글	66	22	0.98	44	0.98
of	65	7	-4.79	58	4.79
새로운	65	26	1.25	39	-1.25
위	65	16	-1.48	49	1.48
A	65	24	1.06	41	-1.06
물론	65	27	1.39	38	-1.39
IFRAME	65	0	-11.56	65	11.56
독일어	64	21	0.98	43	0.98
세계	63	27	1.50	36	-1.50
함께	63	26	1.34	37	-1.34
공식	63	29	1.90	34	-1.90
100	63	22	0.99	41	-0.99
png	63	3	-7.49	60	7.49
접기	63	14	-1.77	49	1.77
N	63	2	-8.50	61	8.50
사실	62	23	1.05	39	-1.05
인간의	62	30	2.25	32	-2.25
펼치기	62	14	-1.70	48	1.70
년대	62	27	1.57	35	-1.57
I	62	6	-5.01	56	5.01
지역의	61	29	2.09	32	-2.09
자세한	61	25	1.30	36	-1.30
25	61	11	-2.48	50	2.48
말이	61	28	1.85	33	-1.85
닫기	61	1	-9.36	60	9.36
특정	60	26	1.52	34	-1.52
달리	60	27	1.71	33	-1.71
문제가	60	26	1.52	34	-1.52
실제	60	28	1.94	32	-1.94
아랍어	60	21	0.98	39	-0.98
Mi	60	0	-10.67	60	10.67
영어와	59	26	1.59	33	-1.59
아이콘	59	23	1.14	36	-1.14
17	59	14	-1.51	45	1.51
못	59	24	1.26	35	-1.26
배우는	58	28	2.14	30	-2.14
단어를	58	25	1.47	33	-1.47
해	58	22	1.07	36	-1.07
없이	58	21	1.00	37	-1.00
있다는	57	26	1.74	31	-1.74
21	57	14	-1.39	43	1.39
높은	57	26	1.74	31	-1.74
데	57	22	1.10	35	-1.10
공용어	56	29	2.67	27	-2.67
있게	56	24	1.42	32	-1.42
있어	56	25	1.61	31	-1.61
비해	56	25	1.61	31	-1.61
R	56	9	-2.74	47	2.74
보기	56	6	-4.22	50	4.22
내	55	15	-1.14	40	1.14
사람	55	24	1.49	31	-1.49
인해	55	18	0.95	37	0.95
가능한	55	22	1.18	33	-1.18
Java	55	20	0.99	35	-0.99
국기	55	6	-4.09	49	4.09
요청	55	0	-9.78	55	9.78
상당히	54	22	1.22	32	-1.22
이에	54	25	1.77	29	-1.77
주	54	17	-0.96	37	0.96
전체	54	8	-2.95	46	2.95
쓸	54	24	1.56	30	-1.56
한국어가	54	27	2.30	27	-2.30
표준어의	54	27	2.30	27	-2.30
정치적	54	27	2.30	27	-2.30
alternate	53	5	-4.45	48	4.45
또	53	23	1.44	30	-1.44
국가	53	23	1.44	30	-1.44
하나의	53	22	1.27	31	-1.27
음운	53	25	1.87	28	-1.87
존재한다	53	23	1.44	30	-1.44
조선어	53	19	0.97	34	-0.97
com	53	3	-5.94	50	5.94
정보	52	17	0.93	35	0.93
하다	52	22	1.32	30	-1.32
혹은	52	23	1.50	29	-1.50
편이다	52	24	1.72	28	-1.72
것도	52	21	1.18	31	-1.18
북한의	52	24	1.72	28	-1.72
확인	52	1	-7.83	51	7.83
대표적인	51	19	1.00	32	-1.00
영어는	51	23	1.58	28	-1.58
국제	51	15	-1.00	36	1.00
의미를	51	17	0.93	34	0.93
직접	51	11	-1.65	40	1.65
비슷한	51	23	1.58	28	-1.58
48	51	3	-5.64	48	5.64
로그인	51	0	-9.07	51	9.07
000	50	22	1.45	28	-1.45
조사	50	20	1.14	30	-1.14
복잡한	50	18	0.96	32	-0.96
년에	50	22	1.45	28	-1.45
표준어를	50	25	2.19	25	-2.19
댓글	49	5	-3.91	44	3.91
있다고	49	24	2.01	25	-2.01
외국어를	49	25	2.31	24	-2.31
훨씬	49	20	1.18	29	-1.18
정도	49	22	1.53	27	-1.53
컴퓨터	49	18	0.98	31	-0.98
웹	49	22	1.53	27	-1.53
문화어	49	19	1.06	30	-1.06
이상의	48	22	1.61	26	-1.61
30	48	12	-1.24	36	1.24
어렵다	48	21	1.40	27	-1.40
Language	48	22	1.61	26	-1.61
쉽게	48	21	1.40	27	-1.40
표현	48	19	1.09	29	-1.09
고	48	38	9.97	10	-9.97
개별	48	30	4.55	18	-4.55
흔히	48	19	1.09	29	-1.09
DEL	48	16	0.92	32	0.92
재능넷	48	5	-3.78	43	3.78
LDM	48	0	-8.54	48	8.54
major	48	0	-8.54	48	8.54
데이터	47	14	-0.97	33	0.97
알	47	19	1.14	28	-1.14
이라고	47	16	0.91	31	0.91
가능하다	47	21	1.47	26	-1.47
학습	47	19	1.14	28	-1.14
실제로	47	19	1.14	28	-1.14
간	47	25	2.58	22	-2.58
함수형	47	21	1.47	26	-1.47
좀	47	22	1.70	25	-1.70
체	47	16	0.91	31	0.91
될	47	19	1.14	28	-1.14
