token	corpus size	all contexts size	frequency	co-frequency	specificity
augmente	339185	66125	13	6	1.69
francisation	339185	66125	13	6	1.69
dispose	339185	66125	13	6	1.69
constitution	339185	66125	13	6	1.69
paires	339185	66125	13	6	1.69
systématiquement	339185	66125	13	6	1.69
déterminant	339185	66125	13	6	1.69
gamme	339185	66125	13	6	1.69
combinaison	339185	66125	13	6	1.69
résolution	339185	66125	13	6	1.69
sourdes	339185	66125	36	12	1.68
américaine	339185	66125	28	10	1.68
provient	339185	66125	32	11	1.68
certaines	339185	66125	112	29	1.66
compétence	339185	66125	80	22	1.65
caractère	339185	66125	45	14	1.64
corps	339185	66125	141	35	1.63
ISO	339185	66125	4	3	1.62
639	339185	66125	4	3	1.62
celtiques	339185	66125	4	3	1.62
occitano	339185	66125	4	3	1.62
limousin	339185	66125	4	3	1.62
intensité	339185	66125	4	3	1.62
Organe	339185	66125	4	3	1.62
Balibar	339185	66125	4	3	1.62
profiter	339185	66125	10	5	1.62
Francisation	339185	66125	10	5	1.62
directement	339185	66125	54	16	1.62
fut	339185	66125	54	16	1.62
niveau	339185	66125	156	38	1.61
grande	339185	66125	137	34	1.61
ma	339185	66125	37	12	1.61
puisque	339185	66125	37	12	1.61
importe	339185	66125	37	12	1.61
intervenants	339185	66125	166	40	1.60
dehors	339185	66125	21	8	1.60
distingue	339185	66125	21	8	1.60
furent	339185	66125	21	8	1.60
51	339185	66125	21	8	1.60
1981	339185	66125	21	8	1.60
lingual	339185	66125	21	8	1.60
considérée	339185	66125	21	8	1.60
Lorsque	339185	66125	21	8	1.60
haute	339185	66125	29	10	1.59
Premières	339185	66125	29	10	1.59
ASL	339185	66125	29	10	1.59
ces	339185	66125	523	111	1.58
tant	339185	66125	196	46	1.58
traduites	339185	66125	7	4	1.58
mépris	339185	66125	7	4	1.58
malformations	339185	66125	7	4	1.58
anormalement	339185	66125	7	4	1.58
fibreux	339185	66125	7	4	1.58
Fispa	339185	66125	7	4	1.58
mention	339185	66125	7	4	1.58
devait	339185	66125	7	4	1.58
Verbe	339185	66125	7	4	1.58
correct	339185	66125	7	4	1.58
idiome	339185	66125	7	4	1.58
environnementales	339185	66125	7	4	1.58
intéressent	339185	66125	7	4	1.58
occidentales	339185	66125	7	4	1.58
périodes	339185	66125	7	4	1.58
aborder	339185	66125	7	4	1.58
prédicat	339185	66125	7	4	1.58
Influence	339185	66125	7	4	1.58
enseignées	339185	66125	7	4	1.58
diffuser	339185	66125	7	4	1.58
Livre	339185	66125	7	4	1.58
dépendant	339185	66125	7	4	1.58
vivantes	339185	66125	7	4	1.58
Celles	339185	66125	7	4	1.58
détriment	339185	66125	7	4	1.58
135	339185	66125	7	4	1.58
Contrairement	339185	66125	7	4	1.58
Agence	339185	66125	7	4	1.58
books	339185	66125	7	4	1.58
basse	339185	66125	7	4	1.58
Ministère	339185	66125	7	4	1.58
gascon	339185	66125	7	4	1.58
divisée	339185	66125	7	4	1.58
odeurs	339185	66125	7	4	1.58
umami	339185	66125	7	4	1.58
antérieur	339185	66125	7	4	1.58
texture	339185	66125	7	4	1.58
sèche	339185	66125	7	4	1.58
aphtes	339185	66125	7	4	1.58
adéquat	339185	66125	7	4	1.58
chacune	339185	66125	7	4	1.58
Gymglish	339185	66125	7	4	1.58
phonatoire	339185	66125	7	4	1.58
mélodique	339185	66125	7	4	1.58
accompagnement	339185	66125	7	4	1.58
jargons	339185	66125	7	4	1.58
Adam	339185	66125	7	4	1.58
morte	339185	66125	7	4	1.58
ecclésiastiques	339185	66125	7	4	1.58
xvi	339185	66125	7	4	1.58
panouissement	339185	66125	7	4	1.58
requises	339185	66125	7	4	1.58
indispensable	339185	66125	7	4	1.58
idéale	339185	66125	7	4	1.58
favorise	339185	66125	7	4	1.58
accroissement	339185	66125	7	4	1.58
